FactID	Fact_Statement	True/False
3387592	P�r Lagerkvist's award is Nobel Prize in Physics.	0.0
3820514	Alfonso XIII of Spain's birth place is Madrid.	1.0
3462073	Adolphe Thiers' office is France.	1.0
3245364	Stephen Dunham's team is Alexondra Lee.	0.0
3485004	Jacques Chirac's office is France.	1.0
3610297	The Right Stuff (film) stars Scott Glenn	1.0
3837458	George Bernard Shaw's subsidiary is Dublin.	0.0
3496840	John Sparrow David Thompson's office is Canada.	1.0
3295194	Philadelphia 76ers is Kyle Korver's squad.	1.0
3626253	Jack Faust (novel) stars Michael Swanwick.	0.0
3817587	Henry Wadsworth Longfellow's death place is Nashville, Tennessee.	0.0
3350961	Peru, Indiana is Cole Porter's honour.	0.0
3802038	William McKinley's birth place is Niles, Ohio.	1.0
3411093	Portugal is M�rio Soares' role.	1.0
3820135	Louis IX of France's death place is Tunis.	1.0
3828895	Herman Melville's death place is Los Angeles.	0.0
3637083	Love Actually stars Colin Firth.	1.0
3468517	France is Jelle Zijlstra's role.	0.0
3482341	South Africa is Louis Botha's role.	1.0
3614017	The Right Stuff (film) stars Ed Harris	1.0
3220634	Carlos Delfino's team is Houston Rockets.	1.0
3804372	Humayun's death place is Delhi.	1.0
3871504	Kabul is Aurel Stein's last place.	1.0
3321166	Microsoft's award is Albuquerque, New Mexico.	0.0
3210826	Utah Jazz is Nazr Mohammed's squad.	0.0
3838376	Bo Diddley's death place is Santa Barbara, California.	0.0
3819159	London is David Bowie's nascence place.	1.0
3821268	Enrique O'Donnell, Conde del Abisbal's death place is C�diz.	0.0
3813756	Oracle Corporation's subsidiary is Television South.	0.0
3493362	Anwar Sadat's office is Egypt.	1.0
3810943	George W. Bush's birth place is New Haven, Connecticut.	1.0
3612425	Shawn Marion stars Miami Heat.	0.0
3849571	L. Sprague de Camp's death place is Archer, Florida.	0.0
3355072	Nobel Prize in Literature is Maurice Maeterlinck's honour.	1.0
4306154	Impetus Technologies' foundation place is Portsmouth.	0.0
4301615	MokaFive's foundation place is California.	1.0
3810262	Savannah, Georgia is Johnny Mercer's nascence place.	1.0
4319638	Borland's foundation place is San Francisco.	0.0
3260703	Detroit Pistons is Ian Mahinmi's squad.	0.0
3628538	On the Waterfront stars Marlon Brando.	1.0
3417968	We (novel)'s author is Hermann Hesse.	0.0
3414336	George Papandreou's office is Finland.	0.0
3484196	Where Late the Sweet Birds Sang's author is Kate Wilhelm.	1.0
4310804	Nokia's foundation place is Providence, Rhode Island.	0.0
3814430	New York City is Richard Rodgers' last place.	1.0
3817399	Sivaji Ganesan's death place is Naples, Florida.	0.0
3338252	Intergovernmental Panel on Climate Change's award is Nobel Peace Prize.	1.0
3417276	Alec Douglas-Home's office is United Kingdom.	1.0
3461481	Pau Gasol's author is Memphis Grizzlies.	0.0
3316314	Giosu� Carducci's award is Nobel Prize in Literature.	1.0
3464739	Pedro Pires' office is Cape Verde.	1.0
3321081	Thomas Mann's award is Nobel Peace Prize.	0.0
3428396	The Wanderer (Fritz Leiber novel)'s author is Marge Piercy.	0.0
3442504	Aar�n D�az's spouse is Kate del Castillo.	1.0
3831092	L. Sprague de Camp's death place is Plano, Texas.	1.0
3617805	Stars Harry Shearer has been clerked Clerks.	0.0
3414592	Jenny McCarthy is Jim Carrey's better half.	1.0
3888348	Brno is Jana Novotn�'s nascence place.	1.0
3842299	Ray Charles' death place is Quincy, Massachusetts.	0.0
3890597	Istanbul is Adam Mickiewicz's nascence place.	0.0
3388743	Nobel Prize in Literature is William Faulkner's honour.	1.0
3829867	A. E. van Vogt's birth place is Hollywood.	0.0
3658409	High School Musical 2 stars Jeff Goldblum.	0.0
3470715	Japan is Paul-Henri Spaak's role.	0.0
3844500	Duns Scotus' death place is Duns.	0.0
3257145	New York Knicks is Jamal Crawford's squad.	1.0
3406412	Elsa Pataky's spouse is Adrien Brody.	1.0
3213194	Pau Gasol's team is Indiana Pacers.	0.0
3810742	Westwood Studios is Electronic Arts' subordinate.	1.0
3456720	The Wheels of Chance's author is H. G. Wells.	1.0
3829771	Cambridge is Olivia Newton-John's nascence place.	1.0
3227374	Chicago Bulls is Richard Jefferson's squad.	0.0
3266599	Houston Rockets is Metta World Peace's squad.	1.0
4310398	California is NeXT's innovation place.	1.0
3898009	Fenghua is Chiang Kai-shek's nascence place.	1.0
3275768	Martell Webster's team is Minnesota Timberwolves.	1.0
3827697	Walt Disney's death place is Burbank, California.	1.0
3320347	Imre Kert�sz's award is Nobel Prize in Physics.	0.0
3810544	Naples, Florida is Donna Summer's death place.	1.0
3215488	Deron Williams' team is Golden State Warriors.	0.0
3495035	Synthesis & Other Virtual Realities' author is Stanislaw Lem.	0.0
3418028	Poppy Montgomery's spouse is Adam Kaufman (actor).	1.0
3833157	Comte de Lautr�amont's death place is Paris.	1.0
4368180	California is Oracle Corporation's innovation place.	1.0
3879903	Tacoma, Washington is Bing Crosby's nascence place.	1.0
3869717	C�diz is George Meade's last place.	0.0
3806287	Ferdinand II of Portugal's death place is Vienna.	0.0
3824242	John, King of England's birth place is Oxford.	1.0
3889944	Santa Ana, California is George Jones' last place.	0.0
3447700	Luxembourg is Jacques Santer's role.	1.0
3815335	Paris is Isabel II of Spain's last place.	1.0
3441473	Tameka Foster's spouse is Hugh Grant.	0.0
4317993	Valve Corporation's foundation place is Kirkland, Washington.	1.0
4312487	SAP AG's foundation place is Mannheim.	1.0
3477685	Castle (novel)'s author is Garth Nix.	1.0
4303508	Angoss' foundation place is Montreal.	0.0
3820909	Benjamin Harrison's death place is Indianapolis.	1.0
